system,rt_exper,Pubchem,cmm_id,rt_pred
FEM_short,20.46,5281672,12707.0,669.53687
FEM_long,30.89,5281672,12707.0,669.53687
UniToyama_Atlantis,12.835,5281672,12707.0,669.53687
FEM_short,21.04,932,59681.0,779.2493
FEM_long,33.75,932,59681.0,779.2493
FEM_long,22.2925,1287,,797.25415
FEM_short,12.73,1287,,797.25415
FEM_long,26.09,496377,,718.17426
FEM_short,17.82,496377,,718.17426
FEM_long,33.46,366354,,1086.2393
FEM_short,20.75625,366354,,1086.2393
FEM_long,25.89,495605,147136.0,1004.66235
FEM_short,10.7,495605,147136.0,1004.66235
FEM_long,27.94,282013,112311.0,690.2411
FEM_short,19.53,282013,112311.0,690.2411
UniToyama_Atlantis,12.293333,282013,112311.0,690.2411
FEM_long,28.05,11968,99357.0,733.86707
FEM_short,19.73,11968,99357.0,733.86707
FEM_long,33.21,135031053,,679.90765
FEM_short,20.67482759,135031053,,679.90765
FEM_long,25.92,57518717,,988.3957
FEM_short,17.57,57518717,,988.3957
FEM_long,29.6,4789,,655.52716
FEM_short,20.21,4789,,655.52716
FEM_long,26.54,4813,,714.4067
FEM_short,17.88,4813,,714.4067
FEM_long,18.1425,130556,75071.0,708.987
FEM_short,9.66,130556,75071.0,708.987
FEM_long,41.38,160517,,890.81586
FEM_short,21.89,160517,,890.81586
FEM_long,30.4,12442954,,665.634
FEM_short,20.37,12442954,,665.634
FEM_long,27.4,5280362,15008.0,731.6953
FEM_short,20.11,5280362,15008.0,731.6953
FEM_long,29.1,5293655,,670.14844
FEM_short,20.0,5293655,,670.14844
UniToyama_Atlantis,10.243333,5293655,,670.14844
FEM_long,21.9,10742,43708.0,630.12036
FEM_short,13.78,10742,43708.0,630.12036
LIFE_old,1.788016667,10742,43708.0,630.12036
FEM_orbitrap_plasma,5.795,10742,43708.0,630.12036
FEM_long,25.27,471,116779.0,678.17255
FEM_short,16.82,471,116779.0,678.17255
FEM_long,17.99,67380062,,645.1077
FEM_short,10.7,67380062,,645.1077
FEM_long,42.2,5320945,15345.0,905.52386
FEM_short,21.96,5320945,15345.0,905.52386
FEM_long,28.6,4441,,664.5845
FEM_short,19.86,4441,,664.5845
PFR-TK72,6.18,4441,,664.5845
FEM_long,2.4,413696,,591.69916
FEM_short,2.43,413696,,591.69916
FEM_long,24.2,23340,79287.0,739.22784
FEM_short,16.06,23340,79287.0,739.22784
FEM_long,23.02,13250,70858.0,709.7099
FEM_short,15.16,13250,70858.0,709.7099
FEM_long,25.915,21872046,132295.0,760.0771
FEM_long,48.08,61953,122189.0,1185.5509
FEM_long,38.9,6988,,835.4642
FEM_long,1.0,428,80679.0,79.53985
FEM_long,1.1,1045,147740.0,79.307846
RIKEN,0.14,1045,147740.0,79.307846
OBSF,0.6,1045,147740.0,79.307846
FEM_long,26.605,802,69599.0,632.90094
LIFE_new,3.633883333,802,69599.0,632.90094
FEM_long,16.9,9338,101579.0,666.26105
FEM_long,7.99,645,,554.491
FEM_long,1.4,50,58747.0,589.3785
FEM_long,1.4,50,150702.0,589.3785
FEM_long,1.4,50,157667.0,589.3785
FEM_long,2.2,51,98053.0,536.96405
MTBLS87,12.9,51,98053.0,536.96405
MTBLS36,3.043912185,51,98053.0,536.96405
FEM_long,2.4,51,98053.0,536.96405
FEM_long,31.3,332,72308.0,750.9184
FEM_long,22.2,8314,25367.0,694.4982
Waters ACQUITY UPLC with Synapt G1 Q-TOF,14.09095,8314,25367.0,694.4982
Waters ACQUITY UPLC with Synapt G1 Q-TOF,14.09095,8314,25367.0,694.4982
FEM_long,6.5,7283,53939.0,95.40782
FEM_long,40.2,61005,113402.0,896.68097
FEM_long,5.9,12025,124302.0,554.0447
FEM_long,27.25,8467,140681.0,745.0358
FEM_long,7.04,1662,73142.0,556.5235
RIKEN,0.68,1662,73142.0,556.5235
FEM_long,20.3,101,158048.0,671.2296
FEM_long,34.1,6736,62552.0,773.76843
FEM_long,24.6,21648,57227.0,698.77344
FEM_long,12.29,978,55150.0,563.7041
LIFE_new,2.094316667,978,55150.0,563.7041
LIFE_old,1.502566667,978,55150.0,563.7041
IPB_Halle,1.945866667,978,55150.0,563.7041
MTBLS87,7.2,978,55150.0,563.7041
RIKEN,1.13,978,55150.0,563.7041
Cao_HILIC,2.26,978,55150.0,563.7041
Waters ACQUITY UPLC with Synapt G1 Q-TOF,1.673583333,978,55150.0,563.7041
FEM_long,34.5,92224,,721.9397
FEM_long,27.81,5280567,78439.0,677.7669
FEM_orbitrap_plasma,7.825,5280567,78439.0,677.7669
UFZ_Phenomenex,20.1,5280567,78439.0,677.7669
UFZ_Phenomenex,20.1,5280567,78439.0,677.7669
FEM_long,41.8,92971,,969.7258
FEM_long,11.94,237332,76649.0,571.0559
FEM_long,1.42,157,51694.0,556.07025
FEM_long,1.42,157,154080.0,556.07025
FEM_long,1.44,157,51694.0,556.07025
FEM_long,1.44,157,154080.0,556.07025
FEM_long,20.29,12097,128863.0,647.0197
FEM_long,42.9,147157,,918.6786
FEM_long,31.3,287291,,692.8885
1290SQ,16.843,287291,,692.8885
FEM_long,23.9,2214,162519.0,657.1772
FEM_long,7.995,581,138224.0,581.2039
FEM_long,10.895,256106,,87.47464
FEM_long,4.08,224,,88.151215
FEM_long,12.715,195,,569.1638
FEM_long,15.5,196,27575.0,539.2385
LIFE_new,2.329066667,196,27575.0,539.2385
LIFE_old,1.498283333,196,27575.0,539.2385
IPB_Halle,2.327,196,27575.0,539.2385
FEM_long,1.381666667,827,97703.0,573.499
FEM_long,1.381666667,827,97885.0,573.499
FEM_long,1.185,199,122001.0,81.2151
RIKEN,0.15,199,122001.0,81.2151
FEM_long,1.03,199,122001.0,81.2151
FEM_long,0.69,602,50347.0,551.2374
FEM_long,1.3,602,50347.0,551.2374
FEM_long,1.34875,206,116261.0,584.644
MTBLS20,0.9,206,116261.0,584.644
FEM_long,29.0,863,32714.0,726.7343
RIKEN,1.57,863,32714.0,726.7343
FEM_long,59.2,2116,,1431.8306
Qtof-PFEM,15.6,2116,,1431.8306
INRA_QTOF,15.6,2116,,1431.8306
FEM_long,1.4275,24749,,577.0337
FEM_long,19.3,2180,147651.0,631.1529
FEM_long,27.1,31244,89876.0,727.1134
